Target,Source,Weight
YDR179C,YNL199C,-1
YDR497C,YHL020C,-1
YJR078W,YDR310C,-1
YHR184W,YDR310C,-1
YHL028W,YMR016C,-1
YGR260W,YDR310C,-1
YNL194C,YMR016C,-1
YHR029C,YER040W,-1
YHR176W,YNL103W,-1
YER067W,YML007W,-1
YDL003W,YDL056W,-1
YHL036W,YML027W,-1
YHL036W,YPL038W,-1
YHR126C,YDR310C,-1
YJL043W,YDR310C,-1
YGL184C,YNL103W,-1
YBR020W,YML051W,-1
YMR195W,YMR016C,-1
YIL162W,YML051W,-1
YAR050W,YER109C,-1
YDR461W,YDR451C,-1
YGR180C,YLR176C,-1
YJL153C,YDR207C,-1
YJL153C,YHL020C,-1
YJL051W,YNL068C,-1
YOL058W,YMR042W,-1
YOL058W,YML099C,-1
YJR086W,YGL192W,-1
YER179W,YDR207C,-1
YNL204C,YDR310C,-1
YOL151W,YNL167C,-1
YDL059C,YML027W,-1
YDL059C,YNL103W,-1
YNL312W,YDL056W,-1
YIL066C,YLR176C,-1
YDR492W,YKL062W,-1
YBR038W_ExtraCopy_1,YNL068C,-1
YLR179C,YNL103W,-1
YDR077W,YNL167C,-1
YPR184W,YGL013C,-1
YGR273C,YDR310C,-1
YDR523C,YDR310C,-1
YMR319C,YPR065W,-1
YLR461W,YNL216W,-1
YDR253C,YNL103W,-1
YDR253C,YML027W,-1
YNL142W,YJL110C,-1
YDL131W,YML099C,-1
YOR317W,YMR016C,-1
YDL101C,YDL056W,-1
YLR190W,YNL068C,-1
YOL163W,YNL103W,-1
YBR157C,YMR016C,-1
YIR019C,YOL116W,-1
YIR019C,YER109C,-1
YHR185C,YDR310C,-1
YDL127W,YDR146C,-1
YOR255W,YDR310C,-1
YOR365C,YDR310C,-1
YOL047C,YDR310C,-1
YGR121C,YJL110C,-1
YJR137C,YNL103W,-1
YGR067C,YMR280C,-1
YBR180W,YDR310C,-1
YDR507C,YDL056W,-1
YLR081W,YML051W,-1
YGR108W,YNL068C,-1
